nct_id,label_strict_classification,label_strict_full,label_provenance_classification,label_provenance_full
NCT03674112,0,1,completed+results+no_positive_signal,completed+positive_text
NCT01274351,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02654119,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00712881,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02924883,0,1,completed+results+no_positive_signal,completed+positive_text
NCT01350245,0,1,completed+results+no_positive_signal,completed+positive_text
NCT03873493,0,1,completed+results+no_positive_signal,completed+positive_text
NCT01750281,0,1,completed+results+no_positive_signal,completed+positive_text
NCT03194373,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02041429,1,0,completed+positive_text+results,completed+negative_text
NCT00119262,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00345540,0,1,completed+results+no_positive_signal,completed+positive_text
NCT01004003,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02280252,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00550771,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02061085,1,0,completed+positive_text+results,completed+negative_text
NCT00885755,0,1,completed+results+no_positive_signal,completed+positive_text
NCT04313504,0,1,completed+results+no_positive_signal,completed+positive_text
NCT01646125,0,1,terminated+efficacy,terminated+positive_text
NCT02624492,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00537381,0,1,completed+results+no_positive_signal,completed+positive_text
NCT03056001,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00875667,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00778830,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02399085,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00038610,0,1,completed+results+no_positive_signal,completed+positive_text
NCT04828486,0,1,completed+results+no_positive_signal,completed+positive_text
NCT03677141,0,1,completed+results+no_positive_signal,completed+positive_text
NCT04154189,0,1,completed+results+no_positive_signal,completed+positive_text
NCT03733990,0,1,completed+negative_text,completed+positive_text
NCT00439517,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02826486,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00436566,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00470704,0,1,completed+results+no_positive_signal,completed+positive_text
NCT01388647,0,1,terminated+efficacy,terminated+positive_text
NCT00821886,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00784303,0,1,completed+results+no_positive_signal,completed+positive_text
NCT01593254,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02795988,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02071225,0,1,completed+results+no_positive_signal,completed+positive_text
NCT03439280,0,1,completed+results+no_positive_signal,completed+positive_text
NCT01250119,0,1,completed+results+no_positive_signal,completed+positive_text
NCT02279862,0,1,completed+results+no_positive_signal,completed+positive_text
NCT00534417,0,1,completed+results+no_positive_signal,completed+positive_text
NCT03248427,1,0,completed+positive_text+approved,completed+negative_text
NCT00679341,0,1,completed+results+no_positive_signal,completed+positive_text
