nct_id,label_strict,label_balanced,label_permissive,label_provenance
NCT03570619,0,0,0,completed+results+no_positive_signal
NCT03321630,1,1,1,completed+positive_text+results
NCT02939651,1,1,1,completed+positive_text+results
NCT02536742,0,0,0,completed+results+no_positive_signal
NCT01274351,0,0,0,completed+results+no_positive_signal
NCT00176605,0,0,0,completed+results+no_positive_signal
NCT04700072,1,1,1,completed+positive_text+approved
NCT00399529,1,1,1,completed+positive_text+results
NCT00767819,0,0,0,completed+results+no_positive_signal
NCT01763788,0,0,0,completed+results+no_positive_signal
NCT03093831,0,0,0,terminated+negative_text
NCT02454842,0,0,0,terminated+efficacy
NCT00744900,0,0,0,completed+negative_text
NCT01053949,1,1,1,completed+positive_text+approved
NCT00723099,0,0,0,completed+results+no_positive_signal
NCT03510871,1,1,1,completed+positive_text+approved
NCT00578864,0,0,0,completed+results+no_positive_signal
NCT04933695,1,1,1,completed+positive_text+approved
NCT00691301,0,0,0,completed+results+no_positive_signal
NCT00598507,1,1,1,completed+positive_text+results
NCT00390611,0,0,0,completed+results+no_positive_signal
NCT00409565,1,1,1,completed+positive_text+results
NCT01750281,0,0,0,completed+results+no_positive_signal
NCT00004092,0,0,0,completed+results+no_positive_signal
NCT00039195,0,0,0,completed+results+no_positive_signal
NCT00271609,1,1,1,completed+positive_text+results
NCT00371254,0,0,0,completed+results+no_positive_signal
NCT05653427,0,0,0,terminated+efficacy
NCT01418742,0,0,0,terminated+negative_text
NCT05687617,0,0,0,terminated+negative_text
NCT01057589,0,0,0,completed+results+no_positive_signal
NCT00403403,0,0,0,completed+results+no_positive_signal
NCT00679783,1,1,1,completed+positive_text+results
NCT05085002,0,0,0,terminated+efficacy
NCT00313560,0,0,0,completed+results+no_positive_signal
NCT00881296,1,1,1,completed+positive_text+approved
NCT00387959,0,0,0,completed+results+no_positive_signal
NCT02597322,1,1,1,completed+positive_text+approved
NCT03760666,0,0,0,terminated+efficacy
NCT02453594,1,1,1,completed+positive_text+results
NCT00520403,0,0,0,completed+results+no_positive_signal
NCT00867321,0,0,0,completed+results+no_positive_signal
NCT03801304,1,1,1,completed+positive_text+approved
NCT02659020,0,0,0,completed+results+no_positive_signal
NCT02061085,1,1,1,completed+positive_text+results
NCT00847015,0,0,0,completed+results+no_positive_signal
NCT00459108,0,0,0,terminated+efficacy
NCT01505413,1,1,1,completed+positive_text+approved
NCT02368691,0,0,0,terminated+efficacy
NCT01305213,0,0,0,completed+results+no_positive_signal
NCT02055820,1,1,1,completed+positive_text+results
NCT02302833,0,0,0,completed+results+no_positive_signal
NCT04308785,0,0,0,terminated+negative_text
NCT01646125,0,0,0,terminated+efficacy
NCT01095094,0,0,0,terminated+negative_text
NCT06022692,0,0,0,completed+negative_text
NCT00813293,1,1,1,completed+positive_text+results
NCT00117351,0,0,0,terminated+efficacy
NCT01246986,0,0,0,completed+results+no_positive_signal
NCT00057837,0,0,0,completed+results+no_positive_signal
NCT04166383,0,0,0,terminated+efficacy
NCT04944173,0,0,0,withdrawn+negative
NCT00066677,0,0,0,terminated+efficacy
NCT03108495,0,0,0,terminated+efficacy
NCT01340430,1,1,1,completed+positive_text+approved
NCT02815995,1,1,1,completed+positive_text+results
NCT02008539,0,0,0,terminated+negative_text
NCT01203267,1,1,1,completed+positive_text+approved
NCT04009876,1,1,1,completed+positive_text+approved
NCT00468585,1,1,1,completed+positive_text+results
NCT00201240,1,1,1,completed+positive_text+results
NCT01232452,1,1,1,completed+positive_text+results
NCT00244985,0,0,0,completed+results+no_positive_signal
NCT04347226,0,0,0,terminated+efficacy
NCT01045460,0,0,0,completed+results+no_positive_signal
NCT00537095,1,1,1,completed+positive_text+results
NCT00329641,0,0,0,completed+results+no_positive_signal
NCT00516841,0,0,0,terminated+efficacy
NCT00112827,1,1,1,completed+positive_text+results
NCT00081861,0,0,0,completed+results+no_positive_signal
NCT02722668,0,0,0,completed+results+no_positive_signal
NCT04154189,0,0,0,completed+results+no_positive_signal
NCT02213289,0,0,0,completed+results+no_positive_signal
NCT03733990,0,0,0,completed+negative_text
NCT00439517,0,0,0,completed+results+no_positive_signal
NCT00096018,0,0,0,completed+results+no_positive_signal
NCT02466009,0,0,0,completed+results+no_positive_signal
NCT03531840,1,1,1,completed+positive_text+results
NCT03006848,0,0,0,completed+results+no_positive_signal
NCT00357149,1,1,1,completed+positive_text+approved
NCT03274258,0,0,0,terminated+efficacy
NCT00483405,0,0,0,completed+results+no_positive_signal
NCT01621880,0,0,0,completed+results+no_positive_signal
NCT00125359,1,1,1,completed+positive_text+results
NCT03418324,1,1,1,completed+positive_text+results
NCT00864032,1,1,1,completed+positive_text+results
NCT00234052,0,0,0,completed+results+no_positive_signal
NCT02019693,1,1,1,completed+positive_text+results
NCT01468532,0,0,0,completed+results+no_positive_signal
NCT02342587,1,1,1,completed+positive_text+approved
NCT01388647,0,0,0,terminated+efficacy
NCT01118026,1,1,1,completed+positive_text+results
NCT02206425,1,1,1,completed+positive_text+approved
NCT00003270,0,0,0,completed+results+no_positive_signal
NCT00820170,1,1,1,completed+positive_text+results
NCT02640508,0,0,0,completed+results+no_positive_signal
NCT00045110,0,0,0,completed+results+no_positive_signal
NCT00612586,0,0,0,completed+results+no_positive_signal
NCT01495247,0,0,0,terminated+negative_text
NCT02316340,1,1,1,completed+positive_text+results
NCT04045613,0,0,0,completed+results+no_positive_signal
NCT02335424,1,1,1,completed+positive_text+results
NCT01074970,0,0,0,completed+results+no_positive_signal
NCT01701986,0,0,0,completed+results+no_positive_signal
NCT00346645,0,0,0,terminated+efficacy
NCT01246557,1,1,1,completed+positive_text+approved
NCT01535924,0,0,0,completed+results+no_positive_signal
NCT01111461,1,1,1,completed+positive_text+results
NCT00710970,0,0,0,completed+results+no_positive_signal
NCT00408070,0,0,0,terminated+negative_text
NCT02775695,1,1,1,completed+positive_text+results
NCT01279694,1,1,1,completed+positive_text+approved
NCT01593020,0,0,0,completed+results+no_positive_signal
NCT06333769,1,1,1,completed+positive_text+approved
NCT01076231,0,0,0,completed+results+no_positive_signal
NCT02978222,0,0,0,terminated+efficacy
NCT00467142,0,0,0,completed+results+no_positive_signal
NCT00788957,0,0,0,completed+results+no_positive_signal
NCT00942877,1,1,1,completed+positive_text+results
NCT01125176,0,0,0,completed+results+no_positive_signal
NCT01138046,1,1,1,completed+positive_text+results
NCT02176213,1,1,1,completed+positive_text+approved
NCT00253370,0,0,0,completed+results+no_positive_signal
NCT00410813,0,0,0,completed+results+no_positive_signal
NCT00400569,0,0,0,completed+results+no_positive_signal
NCT01083641,0,0,0,terminated+efficacy
NCT01853748,1,1,1,completed+positive_text+results
NCT00374868,0,0,0,completed+results+no_positive_signal
NCT00095680,1,1,1,completed+positive_text+approved
NCT02119676,0,0,0,terminated+efficacy
NCT00134082,0,0,0,completed+results+no_positive_signal
NCT03248427,1,1,1,completed+positive_text+approved
NCT04495894,0,0,0,terminated+negative_text
NCT00408603,1,1,1,completed+positive_text+results
NCT00003631,0,0,0,completed+results+no_positive_signal
NCT02152137,0,0,0,completed+results+no_positive_signal
NCT05109442,0,0,0,terminated+efficacy
NCT00510653,0,0,0,completed+results+no_positive_signal
NCT03098030,0,0,0,completed+results+no_positive_signal
NCT01776307,0,0,0,completed+results+no_positive_signal
