nct_id,canonical_drug,disease,score,baseline_p,counterfactual_p,delta_p,feasibility
NCT03570619,nivolumab,solid tumors,TDS,0.5296,0.9638,0.4342,MEDIUM - combination therapy or target validation
NCT03570619,nivolumab,solid tumors,MCS,0.5296,0.5261,-0.0035,MEDIUM - modality switch or formulation change
NCT03570619,nivolumab,solid tumors,EMS,0.5296,0.5278,-0.0018,HIGH - invest in translational/mechanistic studies
NCT03570619,nivolumab,solid tumors,BFS,0.5296,0.5318,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03570619,nivolumab,solid tumors,CDS,0.5296,0.5361,0.0065,LOW - requires fundamental biology change
NCT03570619,nivolumab,solid tumors,TWS,0.5296,0.5262,-0.0034,MEDIUM - dose optimization or patient selection
NCT03321630,pembrolizumab,gastric cancer,TDS,0.5295,0.9638,0.4343,MEDIUM - combination therapy or target validation
NCT03321630,pembrolizumab,gastric cancer,MCS,0.5295,0.526,-0.0035,MEDIUM - modality switch or formulation change
NCT03321630,pembrolizumab,gastric cancer,EMS,0.5295,0.5277,-0.0018,HIGH - invest in translational/mechanistic studies
NCT03321630,pembrolizumab,gastric cancer,BFS,0.5295,0.5317,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03321630,pembrolizumab,gastric cancer,CDS,0.5295,0.5359,0.0065,LOW - requires fundamental biology change
NCT03321630,pembrolizumab,gastric cancer,TWS,0.5295,0.5261,-0.0034,MEDIUM - dose optimization or patient selection
NCT02939651,pembrolizumab,cancer nos,TDS,0.4582,0.9524,0.4942,MEDIUM - combination therapy or target validation
NCT02939651,pembrolizumab,cancer nos,MCS,0.4582,0.4547,-0.0035,MEDIUM - modality switch or formulation change
NCT02939651,pembrolizumab,cancer nos,EMS,0.4582,0.46,0.0018,HIGH - invest in translational/mechanistic studies
NCT02939651,pembrolizumab,cancer nos,BFS,0.4582,0.4604,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02939651,pembrolizumab,cancer nos,CDS,0.4582,0.4646,0.0065,LOW - requires fundamental biology change
NCT02939651,pembrolizumab,cancer nos,TWS,0.4582,0.4548,-0.0034,MEDIUM - dose optimization or patient selection
NCT02999295,nivolumab,gastric cancer,TDS,0.5295,0.9638,0.4343,MEDIUM - combination therapy or target validation
NCT02999295,nivolumab,gastric cancer,MCS,0.5295,0.526,-0.0035,MEDIUM - modality switch or formulation change
NCT02999295,nivolumab,gastric cancer,EMS,0.5295,0.5277,-0.0018,HIGH - invest in translational/mechanistic studies
NCT02999295,nivolumab,gastric cancer,BFS,0.5295,0.5317,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02999295,nivolumab,gastric cancer,CDS,0.5295,0.5359,0.0065,LOW - requires fundamental biology change
NCT02999295,nivolumab,gastric cancer,TWS,0.5295,0.5261,-0.0034,MEDIUM - dose optimization or patient selection
NCT03674112,trastuzumab,breast cancer,TDS,0.4996,0.9406,0.441,MEDIUM - combination therapy or target validation
NCT03674112,trastuzumab,breast cancer,MCS,0.4996,0.5002,0.0006,MEDIUM - modality switch or formulation change
NCT03674112,trastuzumab,breast cancer,EMS,0.4996,0.5024,0.0029,HIGH - invest in translational/mechanistic studies
NCT03674112,trastuzumab,breast cancer,BFS,0.4996,0.5018,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03674112,trastuzumab,breast cancer,CDS,0.4996,0.5006,0.0011,LOW - requires fundamental biology change
NCT03674112,trastuzumab,breast cancer,TWS,0.4996,0.4961,-0.0034,MEDIUM - dose optimization or patient selection
NCT02536742,palbociclib,breast cancer,TDS,0.4943,0.9406,0.4463,MEDIUM - combination therapy or target validation
NCT02536742,palbociclib,breast cancer,MCS,0.4943,0.4948,0.0005,MEDIUM - modality switch or formulation change
NCT02536742,palbociclib,breast cancer,EMS,0.4943,0.4936,-0.0007,HIGH - invest in translational/mechanistic studies
NCT02536742,palbociclib,breast cancer,BFS,0.4943,0.4965,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT02536742,palbociclib,breast cancer,CDS,0.4943,0.4954,0.0011,LOW - requires fundamental biology change
NCT02536742,palbociclib,breast cancer,TWS,0.4943,0.4909,-0.0034,MEDIUM - dose optimization or patient selection
NCT04547153,docetaxel,gastric cancer,TDS,0.2919,0.8628,0.5709,MEDIUM - combination therapy or target validation
NCT04547153,docetaxel,gastric cancer,MCS,0.2919,0.289,-0.0029,MEDIUM - modality switch or formulation change
NCT04547153,docetaxel,gastric cancer,EMS,0.2919,0.2934,0.0015,HIGH - invest in translational/mechanistic studies
NCT04547153,docetaxel,gastric cancer,BFS,0.2919,0.2938,0.0019,HIGH - biomarker enrichment is a clinical design choice
NCT04547153,docetaxel,gastric cancer,CDS,0.2919,0.2973,0.0054,LOW - requires fundamental biology change
NCT04547153,docetaxel,gastric cancer,TWS,0.2919,0.2891,-0.0028,MEDIUM - dose optimization or patient selection
NCT03322267,pembrolizumab,cancer nos,TDS,0.4582,0.9524,0.4942,MEDIUM - combination therapy or target validation
NCT03322267,pembrolizumab,cancer nos,MCS,0.4582,0.4547,-0.0035,MEDIUM - modality switch or formulation change
NCT03322267,pembrolizumab,cancer nos,EMS,0.4582,0.46,0.0018,HIGH - invest in translational/mechanistic studies
NCT03322267,pembrolizumab,cancer nos,BFS,0.4582,0.4604,0.0022,HIGH - biomarker enrichment is a clinical design choice
NCT03322267,pembrolizumab,cancer nos,CDS,0.4582,0.4646,0.0065,LOW - requires fundamental biology change
NCT03322267,pembrolizumab,cancer nos,TWS,0.4582,0.4548,-0.0034,MEDIUM - dose optimization or patient selection
NCT04644237,trastuzumab,nsclc,TDS,0.5607,0.9527,0.392,MEDIUM - combination therapy or target validation
NCT04644237,trastuzumab,nsclc,MCS,0.5607,0.5601,-0.0006,MEDIUM - modality switch or formulation change
NCT04644237,trastuzumab,nsclc,EMS,0.5607,0.5625,0.0018,HIGH - invest in translational/mechanistic studies
